Function Number,Mean Error,Standard Deviation,Mean Time
1,2.349527979580065e-13,4.081482383552386e-14,3.6290793418884277
2,1219962.8205489968,739674.2927207936,12.950471727053324
3,438825496.2621892,475909899.55724627,13.966037106513976
4,768.9718075518881,400.52319412298897,9.621269297599792
5,1.5916157281026243e-13,5.5694948577710835e-14,7.777545928955078
6,23.735249410169413,19.201281575039943,9.432822728157044
7,115.7121988435396,40.495662347862805,21.185731784502664
8,20.91740315525784,0.05768767353334513,25.665788276990256
9,25.149499896961608,3.9320890749306274,140.5880706389745
10,0.13016358601313602,0.07475077880831207,12.51287697950999
11,87.62011952984645,28.269995350569367,25.561343280474343
12,127.3865942625155,41.19241887284247,29.20477219422658
13,213.64883443964283,60.05318776977324,36.6726574977239
14,2300.3368168300976,505.3978757303053,32.2340785185496
15,4254.92347055747,747.574229858644,34.19113100369771
16,1.700666794774663,0.5616210529336139,177.73416997591656
17,101.22305042306769,20.472025106704102,43.3073503891627
18,131.2564275173137,36.52569848119405,49.92916072209676
19,6.336949729400897,2.9135751514853214,16.573568646113078
20,12.051813546269734,0.9695805539335797,24.935250210762025
21,298.7088283319528,91.93829631891485,97.9774319410324
22,2418.933707385343,560.9424064015736,130.78409952322642
23,4718.000994708452,671.058379762009,137.6543664375941
24,277.70873960038347,7.93928901844603,256.27328704198203
25,289.199465829815,8.068473362117578,257.1316782315572
26,342.57347855144667,56.35834682322827,291.173458258311
27,1010.3893814202124,102.44138688878368,297.14752031962075
28,435.24643363854835,407.26707077345407,194.23605081240336
