98,80,141,92,75,84,72,101,173,84
247,48,163,60,60,64,53,123,118,64
312,29,51,32,51,58,90,230,93,54
251,46,36,54,38,56,309,53,79,78
203,19,26,47,109,36,86,70,277,127
236,32,30,64,325,53,85,63,23,89
174,32,16,343,221,16,46,70,6,76
105,16,228,421,101,7,6,41,4,71
16,5,390,161,29,97,19,83,143,57
59,312,113,86,3,20,9,150,244,4
195,96,22,53,18,272,6,150,39,149
196,39,27,68,237,193,26,41,93,80
298,32,39,41,7,56,42,20,4,461
46,162,61,38,156,106,219,19,129,64
97,130,62,80,139,103,220,98,67,4
161,54,28,172,5,200,144,223,9,4
11,4,71,125,286,62,158,87,109,87
37,3,135,98,175,14,99,94,97,248
105,15,193,233,24,126,31,197,40,36
25,10,86,225,81,75,13,117,171,197
55,13,337,18,87,79,33,87,94,197
63,86,158,6,15,237,165,137,11,122
119,39,162,41,1,130,192,101,159,56
40,26,274,90,8,108,75,106,6,267
59,36,116,7,0,186,425,54,1,116
1,46,70,141,231,55,136,81,125,114
2,54,44,116,0,79,54,76,330,245
1,209,68,137,139,139,99,18,48,142
107,429,55,25,18,170,173,6,2,15
18,107,28,88,56,171,379,22,77,54
68,70,351,16,0,64,34,215,54,128
53,86,48,441,1,108,60,19,105,79
22,22,146,293,5,288,20,7,26,171
258,92,15,276,103,76,11,42,110,17
69,307,119,23,17,130,38,3,204,90
339,54,152,145,3,81,126,26,3,71
57,43,22,8,3,258,307,23,0,279
39,125,150,249,1,62,136,15,132,91
28,76,104,32,92,150,84,8,283,143
211,15,84,206,151,108,36,27,3,159
