,Global Vectorized,Global Vectorized,Global Vectorized,Global Vectorized,Local Vectorized,Local Vectorized,Local Vectorized,Local Iterative,Local Iterative,Local Iterative
,Function Number,Mean Error,Standard Deviation,Mean Time,Mean Error,Standard Deviation,Mean Time,Mean Error,Standard Deviation,Mean Time
0,1,2.349527979580065e-13,4.0814823835523865e-14,3.629079341888428,1.5916157281026246e-13,1.0419570787589326e-13,4.912763706843058,2.046363078989089e-13,6.82121026329696e-14,27.38249832789103
1,2,1219962.8205489968,739674.2927207936,12.950471727053324,2003820.1461442555,723055.3270507241,14.929109366734822,2054493.9983537549,862169.3089631388,58.72533015410105
2,3,438825496.2621892,475909899.5572463,13.966037106513976,66017444.18944653,64358123.68211858,15.881417512893677,78049205.6166014,77526298.08708616,54.20608483950297
3,4,768.9718075518881,400.52319412298897,9.621269297599792,17131.75053202955,4631.203644120932,11.512968158721923,17019.987050338364,3468.2163553984155,45.49210984706879
4,5,1.5916157281026246e-13,5.569494857771084e-14,7.777545928955078,1.1368683772161605e-13,0.0,9.397154649098717,1.1747639897900324e-13,2.0407411917761933e-14,38.519598094622296
5,6,23.735249410169413,19.201281575039943,9.432822728157044,16.70157774766318,11.409509432588706,11.42561747233073,16.266923558610628,4.184897226727094,47.00798653761546
6,7,115.7121988435396,40.495662347862805,21.185731784502664,64.12273853354014,19.940795005039565,23.480031363169356,67.3361405184034,16.953164787923015,75.1882094860077
7,8,20.91740315525784,0.0576876735333451,25.665788276990256,20.930286601387003,0.0582567005309495,28.7958114862442,20.91189670804863,0.0510106484006714,79.75315005779267
8,9,25.149499896961608,3.932089074930627,140.5880706389745,27.546907326664574,2.143221344071931,155.4293169736862,28.297200782107765,2.197719090807762,331.8899527390798
9,10,0.130163586013136,0.074750778808312,12.51287697950999,0.1156006283198129,0.0606029431815296,13.86890239715576,0.1193587258787431,0.0594692680454505,55.66272692680359
10,11,87.62011952984645,28.269995350569367,25.561343280474343,59.02942214443373,12.34347636134254,26.771520821253457,64.72753959411752,16.428011025373532,103.98497653007507
11,12,127.3865942625155,41.19241887284247,29.20477219422658,65.94357376908063,15.46070987969975,30.72006725470225,84.60050154099802,16.946235511970713,92.16183040936788
12,13,213.64883443964283,60.05318776977324,36.6726574977239,133.19090086823033,20.945922200024192,38.08183267911275,135.42695925355468,23.28743516908981,107.21855456829071
13,14,2300.3368168300976,505.3978757303053,32.2340785185496,2461.7259585084767,385.8294249469367,34.350343092282614,2649.278085850156,329.37627234298486,101.3718495766322
14,15,4254.92347055747,747.574229858644,34.19113100369771,3795.264662115281,536.7541625514062,36.575024247169495,3936.357607496839,567.1584929472679,119.35408669312795
15,16,1.700666794774663,0.5616210529336139,177.73416997591656,1.733928676660604,0.4533810788235203,174.92068639596303,1.632999979023605,0.3761011054983192,435.2773512125015
16,17,101.22305042306768,20.472025106704105,43.3073503891627,95.24144164766258,13.282657571425393,58.761388421058655,104.42423557358234,14.96616464283682,138.00948185125986
17,18,131.2564275173137,36.52569848119405,49.92916072209676,138.24777744733134,25.25475865757454,47.5981376806895,167.71576013182306,33.255374184681514,120.42160893281302
18,19,6.336949729400897,2.913575151485321,16.573568646113078,5.073651595276101,1.0039020779710082,17.688035559654235,5.386821811048278,1.2319086093124567,62.12324042320252
19,20,12.051813546269734,0.9695805539335796,24.935250210762025,11.646232195912766,0.6655403172751527,34.91905802885692,11.833228389474408,0.4791701892900209,76.75781439145406
20,21,298.7088283319528,91.93829631891484,97.9774319410324,234.78480472203853,58.59871151890642,118.64126421610514,243.33335448343635,55.876832312024206,273.2535241524378
21,22,2418.933707385343,560.9424064015736,130.78409952322642,2814.2156861929566,365.77111041741193,134.57948938210805,2992.462147755885,472.1154484802846,383.714922618866
22,23,4718.000994708452,671.058379762009,137.6543664375941,4098.051974444968,650.2495067587852,141.6196650505066,4558.091409377581,687.3408162945576,332.75916056633
23,24,277.70873960038347,7.93928901844603,256.27328704198203,272.64069171763146,8.338766042577939,280.8628088792165,274.9524781788963,6.861381002825748,551.2891154050827
24,25,289.199465829815,8.068473362117578,257.1316782315572,291.7117639187375,7.0958468439365125,255.2540285746257,290.6661475681529,6.26457303050003,599.7603669087092
25,26,342.57347855144667,56.35834682322827,291.173458258311,222.7368732052961,57.6225610612355,299.77531355222067,228.33474869611388,63.12899939762751,675.0976577599844
26,27,1010.3893814202124,102.44138688878368,297.14752031962075,1021.4344172621657,62.76026245123092,354.71781126658124,1032.1319641828698,56.35820360718439,624.8571497360865
27,28,435.2464336385484,407.26707077345407,194.23605081240336,293.3333333333337,35.90109871422998,191.4914523601532,300.00000000000034,1.1368683772161605e-13,392.3839540163676
